metric,sample_value,weighted_value,sample_value_numeric,weighted_value_numeric,value_type,note
Respondents,26678,33038673,26678.0,33038673.0,count,Weighted value estimates Canadian population represented by respondents.
Donors,15934,17733073,15934.0,17733073.0,count,FG1FGIV = 1.
Donor participation rate,59.7%,53.7%,59.7,53.7,percentage_points,Use weighted rate for population-level reporting.
Mean donation among donors,956.48,752.70,956.48,752.7,dollars,Donation amounts are among donors only.
Median donation among donors,200,150.00,200.0,150.0,dollars,Median is preferred over mean for skewed donation amounts.
Mean donation frequency among donors,3.45,3.10,3.45,3.1,frequency,Frequency is total number of financial donations.
Median donation frequency among donors,3,2.00,3.0,2.0,frequency,Frequency is among donors only.
