segment_variable,segment_code,segment_label,sort_order,sample_n,weighted_population,sample_charitable_donor_n,weighted_charitable_donors,weighted_charitable_donor_rate_pct,sample_health_donor_n,weighted_health_donors,weighted_health_donor_rate_population_pct,weighted_health_donor_rate_among_donors_pct,weighted_health_donor_composition_pct,weighted_mean_health_donation,weighted_median_health_donation,weighted_mean_total_giving_health_donors,weighted_median_total_giving_health_donors,weighted_mean_total_giving_nonhealth_donors,weighted_median_total_giving_nonhealth_donors
INCG2,1,"Less than $25,000",1,7102,10241036,3298,4247981,41.5,1106,1358322,13.3,32.0,20.0,103.63,50.0,445.41,150.0,419.39,80.0
INCG2,2,"$25,000 to $49,999",2,6580,8489082,3890,4590075,54.1,1569,1751750,20.6,38.2,25.8,167.88,60.0,655.0,200.0,472.66,100.0
INCG2,3,"$50,000 to $74,999",3,6009,6721236,3819,3860846,57.4,1561,1484642,22.1,38.5,21.8,179.86,60.0,715.83,240.0,634.19,110.0
INCG2,4,"$75,000 to $99,999",4,3100,3406055,2138,2150578,63.1,905,924534,27.1,43.0,13.6,166.54,80.0,1085.55,270.0,798.28,140.0
INCG2,5,"$100,000 to $124,999",5,1800,1988125,1230,1290051,64.9,499,496999,25.0,38.5,7.3,467.88,100.0,1206.32,280.0,935.67,200.0
INCG2,6,"$125,000 and more",6,2087,2193140,1559,1593542,72.7,759,781024,35.6,49.0,11.5,902.38,100.0,2505.64,530.0,1465.97,250.0
